developer,price,Año
Paradox Development Studio,0.0,2017
Paradox Development Studio,0.0,2016
Paradox Development Studio,0.0,2017
Paradox Development Studio,0.0,2013
Paradox Development Studio,0.0,2013
Paradox Development Studio,0.0,2017
Pavo Studio,0.0,2017
Pavo Studio,0.0,2017
Pavo Studio,0.0,2017
Pearl Abyss,0.0,2017
Pearl Abyss,0.0,2017
Pearl Abyss,0.0,2017
Peter Gutenko,0.0,2015
Peter Gutenko,0.0,2015
Petroglyph,0.0,2017
Petroglyph,0.0,2015
Petroglyph,0.0,2017
Phyrnna,0.0,2015
Phyrnna,0.0,2015
Phyrnna,0.0,2016
Pipeworks Studio,0.0,2016
Pipeworks Studio,0.0,2016
Pipeworks Studio,0.0,2016
Pixel Federation,0.0,2016
Pixel Federation,0.0,2017
Pixel with Hat,0.0,2017
Pixel with Hat,0.0,2017
Playsaurus,0.0,2016
Playsaurus,0.0,2015
Playsport Games,0.0,2016
Playsport Games,0.0,2017
